Año|Mes|CCAA|Producto||Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita||
2013 | Enero|Baleares|TOMATE N.ENTERO|0,2|15,37|18,59|1,21|2,97|0,02||
2013 | Enero|Baleares|TOMATE N.TRITUR.|0,02|162,09|177,50|1,1|29,85|0,16||
2013 | Enero|Baleares|OTRA VERD/HORT.CON|0,18|35,65|96,27|2,7|7,42|0,04||
2013 | Enero|Baleares|FRUTA EN CONSERVA|0,1|122,26|385,24|3,15|37,91|0,12||
2013 | Enero|Baleares|MERMELADAS,CONFIT.|0,38|55,92|223,56|4|23,58|0,06||
2013 | Enero|Baleares|FRUTA CONS/ALMIBAR|0,22|57,57|115,45|2,01|14,56|0,06||
2013 | Enero|Baleares|FRUTA ESCARCHADA|0,11|2,86|20,11|7,04|2,11|0||
2013 | Enero|Baleares|RESTO FRUTA CONSER|0,02|5,90|26,12|4,43|5,37|0,01||
2013 | Enero|Baleares|VERD./HORT.CONGELAD|0,03|383,16|621,22|1,62|45,51|0,38||
2013 | Enero|Baleares|ESPINACAS|0,62|36,80|45,78|1,24|9,77|0,04||
